Date,Historical_Var,Historical_ES,Age_weighted_Var,Age_weighted_ES,Volatility_Var,Volatility_ES,Bootstrap_Var,Bootstrap_ES,portfolio
2019-03-28,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2780.053350871292,-3456.963439669433,-4355.190983012459,-5714.906082471565,44.513421341897015
2019-03-29,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2738.910305784482,-3407.3788170074463,-4444.380518916249,-5775.277097666802,-607.9949969019052
2019-04-01,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2711.1538125045527,-3407.3788170074463,-4406.519380458531,-5761.830237987633,-2370.3870687966896
2019-04-02,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2820.312722841643,-3510.949496514428,-4363.652408632255,-5705.247306773741,290.187435832432
2019-04-03,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2777.2329197388726,-3456.963439669433,-4400.264389340647,-5743.118171396949,-980.7335177121506
2019-04-04,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2759.1483979546283,-3407.3788170074463,-4377.9346652409495,-5727.078454790829,472.292434986733
2019-04-05,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2723.573417717054,-3407.3788170074463,-4392.956864439597,-5738.300521209847,-144.35838767218013
2019-04-08,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2684.574142329509,-3318.3218152868794,-4393.115852953871,-5744.16606719589,-383.74657778216965
2019-04-09,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2652.368573466365,-3280.769825737313,-4406.847356056398,-5739.779858052863,593.8284323544681
2019-04-10,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2623.8571566592236,-3280.769825737313,-4393.471184732063,-5741.55698258049,962.681184385965
2019-04-11,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2610.388634282135,-3243.8753810898124,-4410.905484124564,-5754.480242457508,-766.8008072443987
2019-04-12,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2594.205030323639,-3209.9764094467614,-4389.336653298142,-5729.26286832728,-1437.7865257278474
2019-04-15,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2616.8411872873835,-3280.769825737313,-4415.03764803546,-5745.612498263043,401.10122665737435
2019-04-16,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2585.849959710793,-3209.9764094467614,-4410.315822029533,-5751.776826156523,-929.7879405152121
2019-04-17,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2577.027142872786,-3209.9764094467614,-4403.7209211058325,-5739.464669667027,177.27360922338164
2019-04-18,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2543.8181059895846,-3177.940536408751,-4377.534413033718,-5712.195218181097,772.4242773597106
2019-04-22,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2526.0040920921606,-3147.6371833959065,-4364.165973885354,-5704.796710515733,-297.0668875111822
2019-04-23,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2497.920625862567,-3147.6371833959065,-4454.191426404673,-5783.776410340056,901.1456715432461
2019-04-24,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2487.3362607333356,-3147.6371833959065,-4442.723261857227,-5789.786025599002,1600.9397957155763
2019-04-25,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2520.586771910771,-3147.6371833959065,-4428.962772942752,-5761.273672626145,-222.58449696712617
2019-04-26,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2491.1605337703268,-3147.6371833959065,-4367.8982563144855,-5716.58065523978,925.5468398447853
2019-04-29,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2480.8085217519524,-3147.6371833959065,-4370.428074645702,-5715.9584169535,-640.6272132392787
2019-04-30,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2463.2231602491274,-3147.6371833959065,-4425.106326672344,-5753.39178899741,1016.9216105301516
2019-05-01,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2457.847058689918,-3147.6371833959065,-4348.027357498998,-5705.432251108202,-180.49607184813817
2019-05-02,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2431.096240490109,-3147.6371833959065,-4445.105314219425,-5782.482947191162,-1195.7282412765483
2019-05-03,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2445.152475233771,-3147.6371833959065,-4354.886096413871,-5702.834326303639,591.1130406858307
2019-05-06,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2423.805675730312,-3147.6371833959065,-4363.108653713413,-5711.602524483711,812.8099669939855
2019-05-07,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2411.64246778352,-3084.607749982952,-4391.520497985248,-5739.859109046427,1327.7788428086426
2019-05-08,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2428.7154537444862,-3147.6371833959065,-4398.781837971874,-5743.2453232220805,-690.8784475413989
2019-05-09,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2415.037999339215,-3084.607749982952,-4363.352332365049,-5702.826496508945,995.9414757216597
2019-05-10,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2410.7690163654784,-3084.607749982952,-4376.766598451301,-5723.540048978752,21.23925314833383
2019-05-13,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2384.29259909165,-2983.1254732820303,-4402.908936385256,-5743.981372952694,2163.0361678257277
2019-05-14,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2480.41544603366,-3147.6371833959065,-4383.5226391153465,-5727.9456576269695,-226.3390951989326
2019-05-15,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2452.4565579903647,-3147.6371833959065,-4402.180874211552,-5749.20704378825,1384.3660113061321
2019-05-16,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2472.767550169285,-3147.6371833959065,-4388.864128119386,-5735.44780746926,-770.8011654688802
2019-05-17,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2461.5181610288237,-3147.6371833959065,-4416.365423997032,-5759.5125469502555,192.67343802820233
2019-05-20,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2432.1203082381594,-3147.6371833959065,-4415.355150870213,-5764.64857487111,-577.2780941621417
2019-05-21,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2413.8858074881327,-3084.607749982952,-4379.965859474951,-5721.72779961225,-850.164923002807
2019-05-22,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2408.067786116915,-3084.607749982952,-4391.508919758493,-5729.3080758449205,1036.8306284112084
2019-05-23,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2410.8990013054686,-3084.607749982952,-4320.205179998097,-5673.935440053412,2928.1638456886735
2019-05-24,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2603.0878999671586,-3243.8753810898124,-4360.17726432763,-5711.9692143102375,-427.7666657707939
2019-05-28,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2574.873436852479,-3209.9764094467614,-4401.036559714615,-5738.3881892876525,1618.4237908602574
2019-05-29,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2604.7775983786223,-3243.8753810898124,-4388.514261642205,-5739.779207492737,374.23885130666093
2019-05-30,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2574.1681296926336,-3209.9764094467614,-4407.435745434013,-5738.107764029515,1611.5067066865981
2019-05-31,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2602.335473372792,-3243.8753810898124,-4395.599138741421,-5730.142812894399,3317.3821196133667
2019-06-03,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2837.641229087634,-3572.746422350801,-4433.324400437598,-5778.2322258332315,2507.4845923735606
2019-06-04,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2942.160114619478,-3643.4647636206514,-4420.863611212637,-5763.849592451394,-1441.433053561278
2019-06-05,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2944.451119310512,-3643.4647636206514,-4391.155399962645,-5742.246338617393,269.5798975064117
2019-06-06,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2894.752877358571,-3643.4647636206514,-4433.113967855749,-5758.925304349187,-560.0487764116607
2019-06-07,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2860.911604219776,-3572.746422350801,-4412.28193406614,-5751.716311568036,1797.3836199181071
2019-06-10,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2891.986023390485,-3643.4647636206514,-4395.151455322849,-5735.742647915624,-1738.6250021971
2019-06-11,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2919.5508538440245,-3643.4647636206514,-4466.8830976761055,-5796.5957663556965,-467.3325273629604
2019-06-12,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2878.8051870595905,-3643.4647636206514,-4378.982103003666,-5720.971830854691,1003.5224798074845
2019-06-13,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2857.3252951584773,-3572.746422350801,-4355.487386005122,-5708.6122512351885,1528.1342360456401
2019-06-14,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2863.540968177866,-3572.746422350801,-4414.362561867608,-5751.7725712492165,31.583200104862243
2019-06-17,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2818.9661356561583,-3510.949496514428,-4347.662631796085,-5711.057648127787,-117.65331897046076
2019-06-18,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2778.2085216556306,-3456.963439669433,-4350.509566295288,-5699.723978600125,664.8633615028614
2019-06-19,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2748.846553372526,-3407.3788170074463,-4393.649314796822,-5741.344391875563,2321.6581350014167
2019-06-20,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2838.670066729199,-3572.746422350801,-4409.663032846707,-5744.687493707801,615.5908559105343
2019-06-21,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2805.56487639152,-3456.963439669433,-4413.469322259985,-5748.335451441973,-1728.5378886481117
2019-06-24,-2781.783056804046,-3456.963439669433,-5301.4043683610225,-6497.983962029888,-2838.5842432724116,-3572.746422350801,-4373.517580070413,-5716.76303024267,1450.2248686718333
