Date,Historical_Var,Historical_ES,Age_weighted_Var,Age_weighted_ES,Volatility_Var,Volatility_ES,Bootstrap_Var,Bootstrap_ES,portfolio
2019-03-28,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4776.786198790689,-6448.942908808372,-8746.538304665424,-11475.152333556283,797.7285486899985
2019-03-29,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4558.6284240036,-6294.457199528221,-8830.854516320433,-11595.691650023033,2038.297003991026
2019-04-01,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4532.568578604944,-6265.412486517825,-8796.687017152915,-11578.084559683497,-729.3020288637988
2019-04-02,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4398.969533701383,-6236.69775784017,-8751.816922984712,-11485.536111253374,126.18041468648083
2019-04-03,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4238.13772588839,-6116.314077741048,-8769.369339197203,-11509.697973538747,-3855.8435321650595
2019-04-04,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4998.751532986401,-6682.63595975192,-8734.914026233908,-11494.004387093517,-444.57040572342254
2019-04-05,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4754.332432111188,-6418.452763404458,-8607.890566126202,-11392.282487041284,2062.243955366169
2019-04-08,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4691.9944198067515,-6418.452763404458,-8639.209570559991,-11416.574024247328,-212.2805369649909
2019-04-09,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4486.44996784926,-6236.69775784017,-8827.533108135167,-11582.33517323297,-1144.5162198566045
2019-04-10,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4415.654251765929,-6236.69775784017,-8626.813705593311,-11407.610096995377,1723.976541446292
2019-04-11,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4424.111978944578,-6236.69775784017,-8779.7008434393,-11565.914839438554,-1959.748521330555
2019-04-12,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4470.340801483687,-6236.69775784017,-8593.41971057022,-11365.819089080263,-2434.214959196318
2019-04-15,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4606.978474175342,-6386.704058508859,-8665.893012556335,-11442.283883954166,1608.9096388865203
2019-04-16,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-4544.094379712238,-6243.734246812544,-8669.713698219071,-11444.857423099822,-4943.039864495752
2019-04-17,-6853.675720256848,-9389.646792577505,-7809.341342880172,-10682.700951881108,-5659.444408350547,-7714.706981824947,-8732.823871067907,-11486.921915269306,-3853.920087249387
