Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2019-03-28,-2671.570625123114,-3069.2547133404832,-2672.877743979533,-3069.5319118622137,44.513421341897015
2019-03-29,-2672.6340835205606,-3070.322167810077,-2673.941215511378,-3070.599369117198,-607.9949969019052
2019-04-01,-2677.2939897393935,-3075.510902635077,-2678.6028598984294,-3075.7884725526405,-2370.3870687966896
2019-04-02,-2677.335083180799,-3075.5434744636345,-2678.643925330766,-3075.8210384413615,290.187435832432
2019-04-03,-2677.243129087203,-3075.4424579066035,-2678.5519414504192,-3075.7200155675037,-980.7335177121506
2019-04-04,-2674.509357033742,-3072.5159250277065,-2675.817535825445,-3072.7933483281495,472.292434986733
2019-04-05,-2674.899008355131,-3072.873741467468,-2676.207082511081,-3073.151142577981,-144.35838767218013
2019-04-08,-2674.874089317241,-3072.6248858146964,-2676.1814274322464,-3072.9021308342303,-383.74657778216965
2019-04-09,-2674.8221413138476,-3072.5393500402506,-2676.1293690316547,-3072.8165716480344,593.8284323544681
2019-04-10,-2674.8960842657293,-3072.640405321495,-2676.203401097077,-3072.9176458274396,962.681184385965
2019-04-11,-2676.133125521038,-3073.9543448905333,-2677.4406951038504,-3074.2316389970606,-766.8008072443987
2019-04-12,-2678.2627086397706,-3076.0327775865167,-2679.570110099985,-3076.3100360395642,-1437.7865257278474
2019-04-15,-2678.274454285722,-3076.039381365309,-2679.581838845508,-3076.31663623431,401.10122665737435
2019-04-16,-2678.582336607969,-3076.3761576288703,-2679.8898161371458,-3076.6534326378724,-929.7879405152121
2019-04-17,-2678.692072053038,-3076.4505207829607,-2679.9994353196084,-3076.7277711363454,177.27360922338164
2019-04-18,-2678.392835049669,-3076.2081862407017,-2679.7003853447936,-3076.4854762569207,772.4242773597106
2019-04-22,-2675.471613343748,-3073.0062962002594,-2676.778241130571,-3073.2833905816774,-297.0668875111822
2019-04-23,-2674.695696812571,-3072.278427694268,-2676.0024825249484,-3072.5555555666956,901.1456715432461
2019-04-24,-2675.4761187831723,-3073.3282714020297,-2676.7837900382283,-3073.60558707002,1600.9397957155763
2019-04-25,-2675.949754565966,-3073.768816439369,-2677.2573170574615,-3074.046109042052,-222.58449696712617
2019-04-26,-2675.9519187373817,-3073.8554485772397,-2677.259758860482,-3074.1328000567955,925.5468398447853
2019-04-29,-2677.016587675764,-3074.9706475441553,-2678.3245938823347,-3075.2480342447566,-640.6272132392787
2019-04-30,-2676.551153339596,-3074.5936749133493,-2677.859450304501,-3074.871123274587,1016.9216105301516
2019-05-01,-2676.4959169403405,-3074.535705424565,-2677.804204922052,-3074.8131518807513,-180.49607184813817
2019-05-02,-2678.0340098877205,-3075.9723019128023,-2679.3419642681156,-3076.2496776227126,-1195.7282412765483
2019-05-03,-2678.0248129075185,-3075.952504480746,-2679.33273244606,-3076.2298728018022,591.1130406858307
2019-05-06,-2677.834059986273,-3075.827431572256,-2679.142195403664,-3076.104845674381,812.8099669939855
2019-05-07,-2677.908424525824,-3076.082819405284,-2679.2171549354894,-3076.360359686431,1327.7788428086426
2019-05-08,-2679.0530100622364,-3077.287653444076,-2680.3619384983153,-3077.565235720355,-690.8784475413989
2019-05-09,-2679.191134669938,-3077.5101857155987,-2680.5003405394177,-3077.7878268267173,995.9414757216597
2019-05-10,-2679.255227719547,-3077.5741493002783,-2680.5644331634976,-3077.8517903211555,21.23925314833383
2019-05-13,-2680.7517798942345,-3079.567780803495,-2682.0626191520155,-3079.8457683045544,2163.0361678257277
2019-05-14,-2680.2020530706673,-3078.9797215138797,-2681.512766336258,-3079.257682295985,-226.3390951989326
2019-05-15,-2680.480601418683,-3079.3284245348677,-2681.7915452705574,-3079.6064342170225,1384.3660113061321
2019-05-16,-2681.342897258048,-3080.066977405443,-2682.6534343881735,-3080.344900834793,-770.8011654688802
2019-05-17,-2681.1595701990577,-3079.74415799265,-2682.4696488419286,-3080.0219841913704,192.67343802820233
2019-05-20,-2680.9751299738396,-3079.54428479432,-2682.2851578911955,-3079.822100235765,-577.2780941621417
2019-05-21,-2682.126053684062,-3080.783475939709,-2683.4363717212195,-3081.0613529063776,-850.164923002807
2019-05-22,-2682.302689508101,-3081.035494027396,-2683.6132553137295,-3081.313423537912,1036.8306284112084
2019-05-23,-2685.992645229478,-3085.6456501481034,-2687.306235574758,-3085.9242210677126,2928.1638456886735
2019-05-24,-2685.783090230394,-3085.420221247235,-2687.096628400903,-3085.6987811022277,-427.7666657707939
2019-05-28,-2686.467505381344,-3086.2699191586075,-2687.781586807716,-3086.5485942209675,1618.4237908602574
2019-05-29,-2686.297391147106,-3086.111186817521,-2687.611509983793,-3086.3898698134235,374.23885130666093
2019-05-30,-2685.1456361309224,-3084.7274774876664,-2686.458992573875,-3085.0059988039984,1611.5067066865981
2019-05-31,-2689.353017263971,-3090.0367050236346,-2690.669995285591,-3090.3159943621304,3317.3821196133667
2019-06-03,-2691.403038295439,-3092.7318366431255,-2692.722136684051,-3093.0115756443224,2507.4845923735606
