Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2019-03-28,-6076.621555524374,-6990.601276610857,-6079.625648881924,-6991.23834969244,797.7285486899985
2019-03-29,-6076.751024317246,-6990.862348526884,-6079.755550231513,-6991.49951334005,2038.297003991026
2019-04-01,-6077.327521474304,-6991.470517347119,-6080.332151487853,-6992.107704236447,-729.3020288637988
2019-04-02,-6075.888273019601,-6989.403253061647,-6078.890838853668,-6990.040002203866,126.18041468648083
2019-04-03,-6083.986133027283,-6998.294480829147,-6086.991306524042,-6998.931782974055,-3855.8435321650595
2019-04-04,-6085.063813492743,-6999.289628914942,-6088.068715719835,-6999.926873532143,-444.57040572342254
2019-04-05,-6084.779933840865,-6999.180226509651,-6087.785409544508,-6999.81759274307,2062.243955366169
2019-04-08,-6085.6090608576515,-6999.966743887155,-6088.614396510775,-7000.604080420293,-212.2805369649909
2019-04-09,-6086.078267851754,-7000.470576937506,-6089.08371731474,-7001.107937606112,-1144.5162198566045
2019-04-10,-6086.030210888606,-7000.397549164289,-6089.035578276855,-7001.034892427442,1723.976541446292
2019-04-11,-6085.441772268983,-6998.929926417364,-6088.444249930977,-6999.566656861077,-1959.748521330555
2019-04-12,-6080.170151861458,-6993.08315140651,-6083.170739089688,-6993.71948094908,-2434.214959196318
2019-04-15,-6078.67805581719,-6991.647266497917,-6081.678827801707,-6992.283635221445,1608.9096388865203
2019-04-16,-6092.07993575804,-7006.199398030208,-6095.084488420712,-7006.836568515863,-4943.039864495752
2019-04-17,-6101.315677323296,-7016.187752427274,-6104.322703694253,-7016.825447508131,-3853.920087249387
2019-04-18,-6102.102653043155,-7016.816134618317,-6105.109158144598,-7017.453719154415,-330.25632443591337
2019-04-22,-6102.962135656777,-7017.719694877797,-6105.968785633821,-7018.357310137423,-803.6371572046772
2019-04-23,-6104.448606301367,-7019.759338915959,-6107.4570744637385,-7020.3973397551235,3539.8799933027326
2019-04-24,-6102.40302196888,-7017.611560647651,-6105.4111542374485,-7018.249490254374,421.07287179728905
2019-04-25,-6102.715800503754,-7017.94138736959,-6105.723988806765,-7018.579328859445,-636.4439336248429
2019-04-26,-6102.272611861811,-7017.896549602218,-6105.282109475291,-7018.534768755367,3182.5533326128675
2019-04-29,-6103.135024206414,-7018.811557621459,-6106.144694692785,-7019.4498134354735,-968.4119196544249
2019-04-30,-6106.06536014024,-7021.836607231719,-6109.0753419340945,-7022.474929064195,-1585.5404314292105
2019-05-01,-6106.4074436129795,-7022.002957720346,-6109.4168478028905,-7022.641157061314,108.69382834494915
2019-05-02,-6109.901697209081,-7025.754557914011,-6112.911947252775,-7026.3929366337825,-2096.9827859083935
2019-05-03,-6109.997006605033,-7025.75639603751,-6113.006949424812,-7026.394709604818,723.513047855729
2019-05-06,-6108.6017350661195,-7024.263454894855,-6111.611356862794,-7024.901700383327,-440.05933233608334
2019-05-07,-6112.5084628112845,-7028.5508672577025,-6115.519335852494,-7029.1893780955215,-2983.727974112152
2019-05-08,-6110.951497927391,-7026.892877731359,-6113.962038918063,-7027.531318151773,-212.00547326084688
2019-05-09,-6111.297098738348,-7026.977026406691,-6114.306780381044,-7027.61528458661,-199.1328628869827
2019-05-10,-6111.335173359864,-7027.039931002778,-6114.344936614392,-7027.678206489982,1752.8561812894927
2019-05-13,-6121.881608701165,-7038.634800425532,-6124.894817977294,-7039.273806704805,-4432.409048708409
2019-05-14,-6121.485507784579,-7038.362429939462,-6124.499123741245,-7039.0015224628005,1749.5236896233973
2019-05-15,-6118.332168220754,-7034.446035693659,-6121.343276148577,-7035.084596343491,1776.787036436074
2019-05-16,-6118.410696640559,-7034.664022114941,-6121.422262942728,-7035.30267997146,1990.0311829693192
2019-05-17,-6106.745034052992,-7021.647928212666,-6109.752161720859,-7022.285644775389,-2810.8434722831826
2019-05-20,-6107.169829038172,-7022.071517307859,-6110.176952742486,-7022.709233030039,-76.73981027826841
2019-05-21,-6106.557684406765,-7021.477436678874,-6109.564867484332,-7022.115164992242,833.2120562010006
2019-05-22,-6102.717428642639,-7017.637603333035,-6105.724613108623,-7018.275331940842,2598.4332388641014
2019-05-23,-6103.241404910595,-7018.091423718908,-6106.24835878632,-7018.729103425821,99.65487680125952
2019-05-24,-6103.5196571264005,-7018.327378220481,-6106.526471976851,-7018.965028444536,410.90637429120045
2019-05-28,-6104.840420851256,-7019.554297292728,-6107.8469272505545,-7020.19188210406,-682.0798882969661
2019-05-29,-6104.898091195763,-7019.614234779305,-6107.904605046767,-7020.2518211709075,-280.3605331696032
2019-05-30,-6105.124669229087,-7019.966296853999,-6108.1315955244445,-7020.60397071199,2148.2990669868873
2019-05-31,-6103.791820107183,-7018.677994000223,-6106.798892818423,-7019.315698908387,1424.9319161640979
2019-06-03,-6105.415935031257,-7020.935822426908,-6108.42509064924,-7021.573969053641,3747.03400596926
2019-06-04,-6102.992183013714,-7018.403702463109,-6106.000982444988,-7019.041773553919,724.9147628737301
2019-06-05,-6100.918984618862,-7016.260184564276,-6103.927552922082,-7016.898206640143,831.9964976942022
2019-06-06,-6100.178562190287,-7015.524606867582,-6103.187146417304,-7016.162632320383,720.6627405598803
2019-06-07,-6101.069056339912,-7016.623950184553,-6104.078327018041,-7017.262121211899,3588.5825093416865
2019-06-10,-6118.941307924661,-7036.359505845041,-6121.956702961206,-7036.998975654889,-5943.794971491359
2019-06-11,-6121.390886618405,-7038.976602647111,-6124.406832258016,-7039.616189222435,-1669.28811654169
2019-06-12,-6124.9218572888185,-7043.685138562953,-6127.941673381843,-7044.3255459388965,5114.988351378315
